"","County","AGEGROUP","AGEGROUPMIN","AGEGROUPMAX","POP"
"553","King County","8",35,39,"185622"
"554","King County","9",40,44,"156929"
"555","King County","10",45,49,"151737"
"556","King County","11",50,54,"141101"
"557","King County","12",55,59,"138228"
"558","King County","13",60,64,"125727"
"559","King County","14",65,69,"103503"
"560","King County","15",70,74,"79212"
"561","King County","16",75,79,"50809"
"562","King County","17",80,84,"32284"
"563","King County","18",85,Inf,"38507"
"564","King County","19",0,17,"451616"
"565","King County","20",5,13,"228050"
"566","King County","21",14,17,"96167"
"567","King County","22",18,64,"1496851"
"568","King County","23",18,24,"181443"
"569","King County","24",25,44,"758615"
"570","King County","25",45,64,"556793"
"571","King County","26",65,Inf,"304315"
"572","King County","27",85,Inf,"38507"
"573","King County","28",16,Inf,"1848923"
"574","King County","29",18,Inf,"1801166"
"575","King County","30",15,44,"1011929"
"576","King County","31",NA,NA,"37"
"577","Pacific County","0",0,Inf,"22471"
"578","Pacific County","1",0,4,"896"
"579","Pacific County","2",5,9,"938"
"580","Pacific County","3",10,14,"1007"
"581","Pacific County","4",15,19,"923"
"582","Pacific County","5",20,24,"862"
"583","Pacific County","6",25,29,"1058"
"584","Pacific County","7",30,34,"1049"
"585","Pacific County","8",35,39,"1142"
"586","Pacific County","9",40,44,"1045"
"587","Pacific County","10",45,49,"1117"
"588","Pacific County","11",50,54,"1279"
"589","Pacific County","12",55,59,"1667"
"590","Pacific County","13",60,64,"2253"
"591","Pacific County","14",65,69,"2480"
"592","Pacific County","15",70,74,"2025"
"593","Pacific County","16",75,79,"1267"
"594","Pacific County","17",80,84,"834"
"595","Pacific County","18",85,Inf,"629"
"596","Pacific County","19",0,17,"3438"
"597","Pacific County","20",5,13,"1724"
"598","Pacific County","21",14,17,"818"
"599","Pacific County","22",18,64,"11798"
"600","Pacific County","23",18,24,"1188"
"601","Pacific County","24",25,44,"4294"
"602","Pacific County","25",45,64,"6316"
"603","Pacific County","26",65,Inf,"7235"
"604","Pacific County","27",85,Inf,"629"
"605","Pacific County","28",16,Inf,"19441"
"606","Pacific County","29",18,Inf,"19033"
"607","Pacific County","30",15,44,"6079"
"608","Pacific County","31",NA,NA,"54.7"
"609","Pend Oreille County","0",0,Inf,"13724"
"610","Pend Oreille County","1",0,4,"645"
"611","Pend Oreille County","2",5,9,"709"
"612","Pend Oreille County","3",10,14,"783"
"613","Pend Oreille County","4",15,19,"759"
"614","Pend Oreille County","5",20,24,"554"
"615","Pend Oreille County","6",25,29,"575"
"616","Pend Oreille County","7",30,34,"671"
"617","Pend Oreille County","8",35,39,"625"
"618","Pend Oreille County","9",40,44,"671"
"619","Pend Oreille County","10",45,49,"720"
"620","Pend Oreille County","11",50,54,"882"
"621","Pend Oreille County","12",55,59,"1148"
"622","Pend Oreille County","13",60,64,"1289"
"623","Pend Oreille County","14",65,69,"1321"
"624","Pend Oreille County","15",70,74,"1070"
"625","Pend Oreille County","16",75,79,"647"
"626","Pend Oreille County","17",80,84,"349"
"627","Pend Oreille County","18",85,Inf,"306"
"628","Pend Oreille County","19",0,17,"2628"
"629","Pend Oreille County","20",5,13,"1342"
"630","Pend Oreille County","21",14,17,"641"
"631","Pend Oreille County","22",18,64,"7403"
"632","Pend Oreille County","23",18,24,"822"
"633","Pend Oreille County","24",25,44,"2542"
"634","Pend Oreille County","25",45,64,"4039"
"635","Pend Oreille County","26",65,Inf,"3693"
"636","Pend Oreille County","27",85,Inf,"306"
"637","Pend Oreille County","28",16,Inf,"11435"
"638","Pend Oreille County","29",18,Inf,"11096"
"639","Pend Oreille County","30",15,44,"3855"
"640","Pend Oreille County","31",NA,NA,"50.9"
"641","San Juan County","0",0,Inf,"17582"
"642","San Juan County","1",0,4,"492"
"643","San Juan County","2",5,9,"600"
"644","San Juan County","3",10,14,"707"
"645","San Juan County","4",15,19,"666"
"646","San Juan County","5",20,24,"677"
"647","San Juan County","6",25,29,"694"
"648","San Juan County","7",30,34,"776"
"649","San Juan County","8",35,39,"855"
"650","San Juan County","9",40,44,"877"
"651","San Juan County","10",45,49,"864"
"652","San Juan County","11",50,54,"1012"
"653","San Juan County","12",55,59,"1403"
"654","San Juan County","13",60,64,"1777"
"655","San Juan County","14",65,69,"2093"
"656","San Juan County","15",70,74,"1863"
"657","San Juan County","16",75,79,"1117"
"658","San Juan County","17",80,84,"599"
"659","San Juan County","18",85,Inf,"510"
"660","San Juan County","19",0,17,"2229"
"661","San Juan County","20",5,13,"1162"
"662","San Juan County","21",14,17,"575"
"663","San Juan County","22",18,64,"9171"
"664","San Juan County","23",18,24,"913"
"665","San Juan County","24",25,44,"3202"
"666","San Juan County","25",45,64,"5056"
"667","San Juan County","26",65,Inf,"6182"
"668","San Juan County","27",85,Inf,"510"
"669","San Juan County","28",16,Inf,"15652"
"670","San Juan County","29",18,Inf,"15353"
"671","San Juan County","30",15,44,"4545"
"672","San Juan County","31",NA,NA,"57.2"
"673","Skamania County","0",0,Inf,"12083"
"674","Skamania County","1",0,4,"521"
"675","Skamania County","2",5,9,"621"
"676","Skamania County","3",10,14,"674"
